Tournament,Stage,Match Type,Match Name,Map,Team,Type,Initiated,Won
Valorant Champions 2025,Group Stage,Opening (B),Bilibili Gaming vs MIBR,Corrode,Bilibili Gaming,Eco (won),4,1
Valorant Champions 2025,Group Stage,Opening (B),Bilibili Gaming vs MIBR,Corrode,Bilibili Gaming,$ (won),0,0
Valorant Champions 2025,Group Stage,Opening (B),Bilibili Gaming vs MIBR,Corrode,Bilibili Gaming,$$ (won),5,3
Valorant Champions 2025,Group Stage,Opening (B),Bilibili Gaming vs MIBR,Corrode,Bilibili Gaming,$$$ (won),13,5
Valorant Champions 2025,Group Stage,Opening (B),Bilibili Gaming vs MIBR,Corrode,MIBR,Pistol Won,,2
Valorant Champions 2025,Group Stage,Opening (B),Bilibili Gaming vs MIBR,Corrode,MIBR,Eco (won),2,2
Valorant Champions 2025,Group Stage,Opening (B),Bilibili Gaming vs MIBR,Corrode,MIBR,$ (won),1,1
Valorant Champions 2025,Group Stage,Opening (B),Bilibili Gaming vs MIBR,Corrode,MIBR,$$ (won),4,3
Valorant Champions 2025,Group Stage,Opening (B),Bilibili Gaming vs MIBR,Corrode,MIBR,$$$ (won),15,7
Valorant Champions 2025,Group Stage,Opening (B),Bilibili Gaming vs MIBR,All Maps,Bilibili Gaming,Pistol Won,,0
Valorant Champions 2025,Group Stage,Opening (B),Bilibili Gaming vs MIBR,All Maps,Bilibili Gaming,Eco (won),7,1
Valorant Champions 2025,Group Stage,Opening (B),Bilibili Gaming vs MIBR,All Maps,Bilibili Gaming,$ (won),1,0
Valorant Champions 2025,Group Stage,Opening (B),Bilibili Gaming vs MIBR,All Maps,Bilibili Gaming,$$ (won),10,3
Valorant Champions 2025,Group Stage,Opening (B),Bilibili Gaming vs MIBR,All Maps,Bilibili Gaming,$$$ (won),19,7
Valorant Champions 2025,Group Stage,Opening (B),Bilibili Gaming vs MIBR,All Maps,MIBR,Pistol Won,,4
Valorant Champions 2025,Group Stage,Opening (B),Bilibili Gaming vs MIBR,All Maps,MIBR,Eco (won),4,4
Valorant Champions 2025,Group Stage,Opening (B),Bilibili Gaming vs MIBR,All Maps,MIBR,$ (won),1,1
Valorant Champions 2025,Group Stage,Opening (B),Bilibili Gaming vs MIBR,All Maps,MIBR,$$ (won),9,7
Valorant Champions 2025,Group Stage,Opening (B),Bilibili Gaming vs MIBR,All Maps,MIBR,$$$ (won),23,14
