Tournament,Stage,Match Type,Match Name,Map,Round Number,Team,Loadout Value,Remaining Credits,Type,Outcome
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Bilibili Gaming vs Team Liquid,Icebox,2,Bilibili Gaming,,2.2k,Semi-buy: 10-20k,Win
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Bilibili Gaming vs Team Liquid,Icebox,2,Team Liquid,,9.4k,Eco: 0-5k,Loss
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Bilibili Gaming vs Team Liquid,Icebox,3,Bilibili Gaming,,11.0k,Semi-buy: 10-20k,Loss
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Bilibili Gaming vs Team Liquid,Icebox,3,Team Liquid,,1.4k,Full buy: 20k+,Win
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Bilibili Gaming vs Team Liquid,Icebox,4,Bilibili Gaming,,1.1k,Full buy: 20k+,Loss
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Bilibili Gaming vs Team Liquid,Icebox,4,Team Liquid,,13.8k,Full buy: 20k+,Win
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Bilibili Gaming vs Team Liquid,Icebox,5,Bilibili Gaming,,6.7k,Semi-eco: 5-10k,Loss
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Bilibili Gaming vs Team Liquid,Icebox,5,Team Liquid,,19.9k,Full buy: 20k+,Win
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Bilibili Gaming vs Team Liquid,Icebox,6,Bilibili Gaming,,1.6k,Full buy: 20k+,Win
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Bilibili Gaming vs Team Liquid,Icebox,6,Team Liquid,,26.6k,Full buy: 20k+,Loss
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Bilibili Gaming vs Team Liquid,Icebox,7,Bilibili Gaming,,6.4k,Semi-buy: 10-20k,Loss
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Bilibili Gaming vs Team Liquid,Icebox,7,Team Liquid,,15.1k,Full buy: 20k+,Win
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Bilibili Gaming vs Team Liquid,Icebox,8,Bilibili Gaming,,7.5k,Semi-buy: 10-20k,Loss
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Bilibili Gaming vs Team Liquid,Icebox,8,Team Liquid,,14.7k,Full buy: 20k+,Win
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Bilibili Gaming vs Team Liquid,Icebox,9,Bilibili Gaming,,1.2k,Semi-buy: 10-20k,Loss
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Bilibili Gaming vs Team Liquid,Icebox,9,Team Liquid,,17.4k,Full buy: 20k+,Win
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Bilibili Gaming vs Team Liquid,Icebox,10,Bilibili Gaming,,1.9k,Semi-buy: 10-20k,Loss
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Bilibili Gaming vs Team Liquid,Icebox,10,Team Liquid,,27.1k,Full buy: 20k+,Win
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Bilibili Gaming vs Team Liquid,Icebox,11,Bilibili Gaming,,0.4k,Semi-buy: 10-20k,Win
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Bilibili Gaming vs Team Liquid,Icebox,11,Team Liquid,,26.5k,Full buy: 20k+,Loss
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Bilibili Gaming vs Team Liquid,Icebox,12,Bilibili Gaming,,4.1k,Full buy: 20k+,Win
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Bilibili Gaming vs Team Liquid,Icebox,12,Team Liquid,,12.9k,Full buy: 20k+,Loss
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Bilibili Gaming vs Team Liquid,Icebox,13,Bilibili Gaming,,0.2k,Eco: 0-5k,Win
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Bilibili Gaming vs Team Liquid,Icebox,13,Team Liquid,,0.2k,Eco: 0-5k,Loss
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Bilibili Gaming vs Team Liquid,Icebox,14,Bilibili Gaming,,4.2k,Semi-buy: 10-20k,Win
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Bilibili Gaming vs Team Liquid,Icebox,14,Team Liquid,,9.5k,Eco: 0-5k,Loss
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Bilibili Gaming vs Team Liquid,Icebox,15,Bilibili Gaming,,15.1k,Full buy: 20k+,Loss
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Bilibili Gaming vs Team Liquid,Icebox,15,Team Liquid,,0.6k,Full buy: 20k+,Win
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Bilibili Gaming vs Team Liquid,Icebox,16,Bilibili Gaming,,5.3k,Full buy: 20k+,Win
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Bilibili Gaming vs Team Liquid,Icebox,16,Team Liquid,,14.0k,Full buy: 20k+,Loss
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Bilibili Gaming vs Team Liquid,Icebox,17,Bilibili Gaming,,14.5k,Full buy: 20k+,Win
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Bilibili Gaming vs Team Liquid,Icebox,17,Team Liquid,,3.6k,Full buy: 20k+,Loss
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Bilibili Gaming vs Team Liquid,Icebox,18,Bilibili Gaming,,16.1k,Full buy: 20k+,Win
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Bilibili Gaming vs Team Liquid,Icebox,18,Team Liquid,,9.2k,Semi-eco: 5-10k,Loss
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Bilibili Gaming vs Team Liquid,Icebox,19,Bilibili Gaming,,24.2k,Full buy: 20k+,Win
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Bilibili Gaming vs Team Liquid,Icebox,19,Team Liquid,,2.2k,Full buy: 20k+,Loss
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Bilibili Gaming vs Team Liquid,Icebox,20,Bilibili Gaming,,26.4k,Full buy: 20k+,Loss
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Bilibili Gaming vs Team Liquid,Icebox,20,Team Liquid,,1.1k,Semi-buy: 10-20k,Win
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Bilibili Gaming vs Team Liquid,Icebox,21,Bilibili Gaming,,17.3k,Full buy: 20k+,Loss
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Bilibili Gaming vs Team Liquid,Icebox,21,Team Liquid,,11.5k,Full buy: 20k+,Win
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Bilibili Gaming vs Team Liquid,Icebox,22,Bilibili Gaming,,13.7k,Full buy: 20k+,Win
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Bilibili Gaming vs Team Liquid,Icebox,22,Team Liquid,,10.8k,Full buy: 20k+,Loss
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Bilibili Gaming vs Team Liquid,Icebox,23,Bilibili Gaming,,28.3k,Full buy: 20k+,Win
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Bilibili Gaming vs Team Liquid,Icebox,23,Team Liquid,,1.8k,Full buy: 20k+,Loss
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Bilibili Gaming vs Team Liquid,Haven,1,Bilibili Gaming,,0.3k,Eco: 0-5k,Loss
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Bilibili Gaming vs Team Liquid,Haven,1,Team Liquid,,0.4k,Eco: 0-5k,Win
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Bilibili Gaming vs Team Liquid,Haven,2,Bilibili Gaming,,8.8k,Eco: 0-5k,Loss
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Bilibili Gaming vs Team Liquid,Haven,2,Team Liquid,,0.4k,Semi-buy: 10-20k,Win
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Bilibili Gaming vs Team Liquid,Haven,3,Bilibili Gaming,,0.8k,Full buy: 20k+,Win
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Bilibili Gaming vs Team Liquid,Haven,3,Team Liquid,,12.1k,Semi-buy: 10-20k,Loss
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Bilibili Gaming vs Team Liquid,Haven,4,Bilibili Gaming,,4.7k,Full buy: 20k+,Win
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Bilibili Gaming vs Team Liquid,Haven,4,Team Liquid,,1.7k,Full buy: 20k+,Loss
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Bilibili Gaming vs Team Liquid,Haven,5,Bilibili Gaming,,9.3k,Full buy: 20k+,Win
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Bilibili Gaming vs Team Liquid,Haven,5,Team Liquid,,6.5k,Semi-buy: 10-20k,Loss
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Bilibili Gaming vs Team Liquid,Haven,6,Bilibili Gaming,,8.6k,Full buy: 20k+,Loss
